model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LSTM,Basic Materials,0.502866420807016,0.5043177348781447,0.5515793077441171,0.4859440085990735,0.6885799827334099,0.0047417029051466,0.514845982961718,0.508647102204077,21921.0,0.0066313415214238,0.0060538231679402,0.0759398866416657,0.044738953151457,0.112753098544703,0.0050433902698285,0.0,0.0,0.0,5
LSTM,Communication Services,0.5054651029968242,0.5072787011306736,0.5797687732073111,0.515770353503213,0.6956186381317975,0.0126327338377017,0.5190457190538714,0.5112677077021791,23089.0,0.0007182098857134,0.0016603519903918,0.0193988094634269,0.0009129287173101,0.0521626363035517,0.0033190870929581,0.0,0.0,0.0,5
LSTM,Consumer Cyclical,0.509323355795921,0.506539277937631,0.6198519849412232,0.512322071022737,0.7893923144919269,0.0103005380172972,0.5099243958279593,0.5099243958279593,61460.0,0.0015463020645298,0.0020418221107612,0.0090220272206948,0.0004914459446425,0.0270194589260303,0.0020979922303102,0.0,0.0,0.0,5
LSTM,Consumer Defensive,0.5109063291790106,0.5045447024696175,0.6295403230241942,0.5142851084907447,0.8212457001238317,0.0110003047573691,0.5125252854577058,0.5119408008668451,38122.0,0.0033390010021222,0.0022752935732496,0.0165442741419961,0.0008487872327496,0.0463382450523722,0.0025038198340281,0.0,0.0,0.0,5
LSTM,Energy,0.5062159245729557,0.496193113700447,0.5403290360734234,0.5010483932301906,0.684852651989817,-0.0024901864952275,0.5253157689907955,0.5126782657930468,21149.0,0.0036960051131989,0.0018314637729678,0.0543988422674272,0.084422248252625,0.0491439163803509,0.0045202784319172,0.0,0.0,0.0,5
LSTM,Financial Services,0.5155623599918848,0.5053542415207346,0.6237268286286802,0.5278910324553217,0.773819026229883,0.0027450230036575,0.5299162164253748,0.526756377837043,70008.0,0.0040654271794723,0.0038783237915685,0.0177531466642948,0.0018860514330558,0.0470846795225502,0.0058997050969968,0.0,0.0,0.0,5
LSTM,Healthcare,0.5066211948332645,0.5013968888687881,0.6072366390951975,0.5135707101558518,0.7642797131903984,0.0008130910695374,0.513788202465688,0.513788202465688,62173.0,0.0033146987254171,0.0035138206471328,0.0243452998976209,0.0013696915651694,0.062810832696243,0.002635269590361,0.0,0.0,0.0,5
LSTM,Industrials,0.5173092531460827,0.5064582398163509,0.6506734720691797,0.5217635791047448,0.8682302711456661,0.006802938000392,0.5205208234326435,0.5205208234326435,68913.0,0.0013818886961478,0.002247333503798,0.0107171805085751,0.0007757228971356,0.037287871211931,0.0021276611531543,0.0,0.0,0.0,5
LSTM,Real Estate,0.4938044359039796,0.5051911389686415,0.5524578187126182,0.5231186841924966,0.7242760248326484,-0.001903512848489,0.5235595665610357,0.4943335642819938,28908.0,0.0019850597343764,0.0042918353180783,0.0311535370898524,0.0267498308225101,0.0381857354048025,0.0033785963227768,0.0,0.0,0.0,5
LSTM,Technology,0.5161213400065897,0.5051291600095403,0.6503105239834941,0.5210124729063867,0.8688836968370683,0.0018695353330145,0.5257099766734903,0.5207272871072695,74119.0,0.0031433091799547,0.0003602273379175,0.0103322450694047,0.000980956992616,0.0338871679184207,0.0060453844197012,0.0,0.0,0.0,5
LSTM,Utilities,0.5004918983501342,0.4928589276441774,0.5397129071632574,0.5321937504634702,0.6260362896697517,-0.0095957536583635,0.5252836404191156,0.5252836404191156,29726.0,0.0067552359047191,0.003366829994064,0.0651467865120809,0.0183796334716909,0.0796596801424332,0.0034885935763402,0.0,0.0,0.0,5
LogisticRegression,Basic Materials,0.4979773533312775,0.498672413123885,0.5720093373592728,0.5052590893430838,0.6650447381420286,-0.0074778142522242,0.514845982961718,0.508647102204077,21921.0,,,,,,,,,,1
LogisticRegression,Communication Services,0.5073077793573302,0.5041383501816525,0.6071551793633642,0.5125799280675418,0.7527046463212803,0.0047089027121349,0.5190457190538714,0.5112677077021791,23089.0,,,,,,,,,,1
LogisticRegression,Consumer Cyclical,0.5086871008713711,0.5046684905268197,0.6084142158266015,0.5125110347801549,0.7501285391170055,0.0075327700883868,0.5099243958279593,0.5099243958279593,61460.0,,,,,,,,,,1
LogisticRegression,Consumer Defensive,0.5109747135494325,0.5012156726747385,0.6462198511708922,0.5140610557446612,0.8739899512061214,0.0075770486094431,0.5125252854577058,0.5119408008668451,38122.0,,,,,,,,,,1
LogisticRegression,Energy,0.4972511295395551,0.4811660411083392,0.5321193007435339,0.520866770436677,0.6597630046592864,-0.021040162423131,0.5253157689907955,0.5126782657930468,21149.0,,,,,,,,,,1
LogisticRegression,Financial Services,0.517077704516567,0.5040520104955313,0.6323753864959611,0.5281660914737266,0.7949072661100872,0.0020519138717966,0.5299162164253748,0.526756377837043,70008.0,,,,,,,,,,1
LogisticRegression,Healthcare,0.5086905206404353,0.5029481235062552,0.6276448146556877,0.5144482087641952,0.8082018482672794,0.002694750290497,0.513788202465688,0.513788202465688,62173.0,,,,,,,,,,1
LogisticRegression,Industrials,0.5143341861016499,0.5025733137899352,0.6438937119954758,0.5210246400552834,0.8479318772961012,0.0013355452411687,0.5205208234326435,0.5205208234326435,68913.0,,,,,,,,,,1
LogisticRegression,Real Estate,0.49569979319693,0.4982765086312306,0.5923788006989484,0.5125189796802566,0.7457331916104409,-0.0082217689870426,0.5235595665610357,0.4943335642819938,28908.0,,,,,,,,,,1
LogisticRegression,Technology,0.517211136098745,0.5072131805183504,0.652793532829891,0.5214857982550929,0.8727516299050805,0.0049206830371246,0.5257099766734903,0.5207272871072695,74119.0,,,,,,,,,,1
LogisticRegression,Utilities,0.510135153191206,0.4911484463911486,0.620434395522136,0.5232121937354297,0.767198976828055,-0.0090917237532111,0.5252836404191156,0.5252836404191156,29726.0,,,,,,,,,,1
RandomForest,Basic Materials,0.4982017191028117,0.4981847984313431,0.5379732006440847,0.5062986720686447,0.5757730252080416,-0.0052814944113181,0.514845982961718,0.508647102204077,21921.0,,,,,,,,,,1
RandomForest,Communication Services,0.5057927044113583,0.5066514695855932,0.5466921615648366,0.5163416115591969,0.5858220582651696,0.0115531261757275,0.5190457190538714,0.5112677077021791,23089.0,,,,,,,,,,1
RandomForest,Consumer Cyclical,0.5012410896198143,0.4991389782584545,0.5480867978509132,0.509438874142784,0.5933672562272246,-0.0013994643612946,0.5099243958279593,0.5099243958279593,61460.0,,,,,,,,,,1
RandomForest,Consumer Defensive,0.5062251993313317,0.5047504079034153,0.5696081315140578,0.5142156547252135,0.6389391046918528,0.0058773729723946,0.5125252854577058,0.5119408008668451,38122.0,,,,,,,,,,1
RandomForest,Energy,0.5019651909365676,0.5000575759492342,0.5073281091838026,0.5278252244822754,0.5013336846038339,0.0054103317616137,0.5253157689907955,0.5126782657930468,21149.0,,,,,,,,,,1
RandomForest,Financial Services,0.5088989377919548,0.5038340576483467,0.5714351598283045,0.5300585251370429,0.6236426203439894,0.0077511578158942,0.5299162164253748,0.526756377837043,70008.0,,,,,,,,,,1
RandomForest,Healthcare,0.5040417978011035,0.5028555269927163,0.5527942334690261,0.5154639546421185,0.5974770762669492,0.0038298896242619,0.513788202465688,0.513788202465688,62173.0,,,,,,,,,,1
RandomForest,Industrials,0.5057281082800101,0.5011283636113861,0.5682963714200813,0.521522574226811,0.6254678028771793,0.0021774453079778,0.5205208234326435,0.5205208234326435,68913.0,,,,,,,,,,1
RandomForest,Real Estate,0.4980641381792616,0.4945588854391337,0.5389679957912649,0.5158272588914595,0.575583621932582,-0.0007393806806289,0.5235595665610357,0.4943335642819938,28908.0,,,,,,,,,,1
