model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LSTM,Basic Materials,0.502866420807016,0.5043177348781447,0.5515793077441171,0.4859440085990735,0.6885799827334099,0.004741702905146661,0.514845982961718,0.508647102204077,21921.0,0.006631341521423894,0.006053823167940285,0.0759398866416657,0.04473895315145709,0.11275309854470303,0.005043390269828542,0.0,0.0,0.0,5
LSTM,Communication Services,0.5054651029968242,0.5072787011306736,0.5797687732073111,0.515770353503213,0.6956186381317975,0.012632733837701703,0.5190457190538714,0.5112677077021791,23089.0,0.0007182098857134895,0.0016603519903918339,0.01939880946342692,0.0009129287173101884,0.052162636303551724,0.003319087092958113,0.0,0.0,0.0,5
LSTM,Consumer Cyclical,0.509323355795921,0.506539277937631,0.6198519849412232,0.512322071022737,0.7893923144919269,0.010300538017297212,0.5099243958279593,0.5099243958279593,61460.0,0.001546302064529888,0.0020418221107612994,0.009022027220694824,0.0004914459446425664,0.027019458926030342,0.0020979922303102053,0.0,0.0,0.0,5
LSTM,Consumer Defensive,0.5109063291790106,0.5045447024696175,0.6295403230241942,0.5142851084907447,0.8212457001238317,0.011000304757369173,0.5125252854577058,0.5119408008668451,38122.0,0.003339001002122209,0.0022752935732496303,0.016544274141996135,0.0008487872327496225,0.04633824505237223,0.002503819834028167,0.0,0.0,0.0,5
LSTM,Energy,0.5062159245729557,0.496193113700447,0.5403290360734234,0.5010483932301906,0.684852651989817,-0.0024901864952275696,0.5253157689907955,0.5126782657930468,21149.0,0.003696005113198994,0.0018314637729678587,0.054398842267427236,0.08442224825262501,0.04914391638035094,0.0045202784319172615,0.0,0.0,0.0,5
LSTM,Financial Services,0.5155623599918848,0.5053542415207346,0.6237268286286802,0.5278910324553217,0.773819026229883,0.0027450230036575054,0.5299162164253748,0.526756377837043,70008.0,0.00406542717947231,0.0038783237915685108,0.01775314666429484,0.0018860514330558936,0.047084679522550264,0.005899705096996886,0.0,0.0,0.0,5
LSTM,Healthcare,0.5066211948332645,0.5013968888687881,0.6072366390951975,0.5135707101558518,0.7642797131903984,0.0008130910695374194,0.513788202465688,0.513788202465688,62173.0,0.0033146987254171305,0.0035138206471328343,0.02434529989762096,0.0013696915651694873,0.06281083269624309,0.0026352695903610482,0.0,0.0,0.0,5
LSTM,Industrials,0.5173092531460827,0.5064582398163509,0.6506734720691797,0.5217635791047448,0.8682302711456661,0.006802938000392068,0.5205208234326435,0.5205208234326435,68913.0,0.0013818886961478652,0.002247333503798078,0.01071718050857511,0.0007757228971356958,0.03728787121193106,0.0021276611531543073,0.0,0.0,0.0,5
LSTM,Real Estate,0.49380443590397965,0.5051911389686415,0.5524578187126182,0.5231186841924966,0.7242760248326484,-0.001903512848489095,0.5235595665610357,0.4943335642819938,28908.0,0.0019850597343764632,0.004291835318078354,0.0311535370898524,0.026749830822510184,0.03818573540480253,0.0033785963227768554,0.0,0.0,0.0,5
LSTM,Technology,0.5161213400065897,0.5051291600095403,0.6503105239834941,0.5210124729063867,0.8688836968370683,0.0018695353330145368,0.5257099766734903,0.5207272871072695,74119.0,0.003143309179954741,0.0003602273379175612,0.010332245069404729,0.0009809569926160608,0.033887167918420745,0.0060453844197012035,0.0,0.0,0.0,5
LSTM,Utilities,0.5004918983501342,0.4928589276441774,0.5397129071632574,0.5321937504634702,0.6260362896697517,-0.00959575365836352,0.5252836404191156,0.5252836404191156,29726.0,0.0067552359047191105,0.0033668299940640485,0.06514678651208096,0.018379633471690988,0.07965968014243324,0.003488593576340276,0.0,0.0,0.0,5
LogisticRegression,Basic Materials,0.4979773533312775,0.49867241312388505,0.5720093373592728,0.5052590893430838,0.6650447381420286,-0.007477814252224238,0.514845982961718,0.508647102204077,21921.0,,,,,,,,,,1
LogisticRegression,Communication Services,0.5073077793573302,0.5041383501816525,0.6071551793633642,0.5125799280675418,0.7527046463212803,0.004708902712134911,0.5190457190538714,0.5112677077021791,23089.0,,,,,,,,,,1
LogisticRegression,Consumer Cyclical,0.5086871008713711,0.5046684905268197,0.6084142158266015,0.5125110347801549,0.7501285391170055,0.007532770088386845,0.5099243958279593,0.5099243958279593,61460.0,,,,,,,,,,1
