Sector,volatility,sampen,hurst,amihud,vol_var,n_tickers,SCI,band,SCI_hurst_plus
Energy,0.4880272158850546,1.7425792777740097,0.5521808369095081,8.314696077247417e-05,0.5386188560058655,20,-0.4283276212269606,low,-0.5543918190415813
Industrials,0.38436224589534973,1.8104549666864207,0.569304770721002,9.950282822385125e-05,0.5703973127586998,73,-0.3768690179329363,low,0.1443129876347338
Consumer Defensive,0.30343160807838715,1.8120729198866146,0.5465694054308424,7.586666580822275e-05,0.6137777727766613,37,-0.27727969099561606,low,-0.6154433841766818
Utilities,0.32801164191622745,1.7949865660057365,0.5333991450985671,9.422600265315215e-05,0.53058763039018,31,-0.23843781548943932,low,-1.0744077424168563
Financial Services,0.3854694203062942,1.750237590910269,0.5520271760321772,0.00010489118831255595,0.6525750865809323,70,-0.06835867823921316,medium,-0.20023091178649244
Healthcare,0.3695361840567342,1.8229676534633914,0.5562853653146065,7.87081555869966e-05,0.6360086145908783,62,-0.013911534405294423,medium,0.015166214491621522
Real Estate,0.3751479932516942,1.7882913387063666,0.552035942927543,0.00013943301423425758,0.5518738777688735,32,0.05430805997684005,medium,-0.07723280463363932
Technology,0.44736788782357645,1.83859532665539,0.5605703163947481,8.167718116998476e-05,0.6016098359734456,80,0.18928205122920944,high,0.3803213183631864
Basic Materials,0.4129534952301197,1.8249985356368825,0.5693946397345904,0.00010463064313931698,0.6683802551686614,22,0.2971265566924799,high,0.821705408947779
Communication Services,0.3695946233486525,1.7974111883101849,0.5497746258657903,0.00013786473532288263,0.6185514506367527,21,0.4097762586299636,high,0.1927626925377361
Consumer Cyclical,0.46245524693628287,1.8090378996472631,0.5691345119910829,0.00011775134615626728,0.657432924494635,65,0.45269143176096965,high,0.9674380400802051
