band,mean,ci_lo,ci_hi
high,0.002745997424664153,-0.002396985495295806,0.008001097106804673
low,0.005053145159871815,-0.00106224171641979,0.011031175200574683
medium,0.002467758354471143,-0.0027999783485009506,0.00784418069582013
