Sector,model,pooled,fold_blocked,gap,side_flip
Healthcare,LogisticRegression,0.5012974613488791,0.5029481235062552,0.0016506621573760816,False
Healthcare,RandomForest,0.5021462569706846,0.5028555269927163,0.0007092700220316939,False
Healthcare,XGBoost,0.4970680768155207,0.4982664795806696,0.0011984027651489315,False
Healthcare,LSTM,0.5002491179181231,0.5013968888687881,0.0011477709506649836,False
Industrials,LogisticRegression,0.499809627999674,0.5025733137899352,0.0027636857902612055,True
Industrials,RandomForest,0.4999960556049972,0.5011283636113861,0.0011323080063889157,True
Industrials,XGBoost,0.4992563374920572,0.5008241358610572,0.0015677983690000064,True
Industrials,LSTM,0.5036525025172968,0.5064582398163509,0.0028057372990540896,False
Consumer Cyclical,LogisticRegression,0.5048984232489548,0.5046684905268197,-0.00022993272213511773,False
Consumer Cyclical,RandomForest,0.4990876995232157,0.49913897825845455,5.127873523885773e-05,False
Consumer Cyclical,XGBoost,0.5005172798165305,0.5008916622430735,0.00037438242654297404,False
Consumer Cyclical,LSTM,0.506132742825959,0.506539277937631,0.00040653511167199063,False
Technology,LogisticRegression,0.5047166658049578,0.5072131805183504,0.002496514713392628,False
Technology,RandomForest,0.498102845773823,0.49935003580182363,0.001247190028000611,False
Technology,XGBoost,0.4985617467382316,0.5010002197864987,0.0024384730482670536,True
Technology,LSTM,0.4988639131179306,0.5051291600095403,0.006265246891609733,True
Financial Services,LogisticRegression,0.4994919185428592,0.5040520104955313,0.004560091952672096,True
Financial Services,RandomForest,0.501442631264414,0.5038340576483467,0.0023914263839326377,False
Financial Services,XGBoost,0.5042744375293713,0.5070423432797941,0.00276790575042285,False
Financial Services,LSTM,0.4992401843348195,0.5053542415207346,0.006114057185915123,True
Consumer Defensive,LogisticRegression,0.5034685690209264,0.5012156726747385,-0.0022528963461878604,False
Consumer Defensive,RandomForest,0.5052048018748158,0.5047504079034153,-0.00045439397140045745,False
Consumer Defensive,XGBoost,0.5045860975025404,0.5047799443509049,0.0001938468483645428,False
Consumer Defensive,LSTM,0.5053939192408208,0.5045447024696175,-0.0008492167712033094,False
Utilities,LogisticRegression,0.4910246051562741,0.4911484463911486,0.00012384123487446663,False
Utilities,RandomForest,0.501279762679059,0.5016408519637957,0.0003610892847366598,False
Utilities,XGBoost,0.4971203116098917,0.4970044236984495,-0.00011588791144218069,False
Utilities,LSTM,0.4909763956643377,0.4928589276441774,0.0018825319798396745,False
Basic Materials,LogisticRegression,0.4965579087069391,0.49867241312388505,0.0021145044169459393,False
Basic Materials,RandomForest,0.4973471802754079,0.4981847984313431,0.0008376181559351936,False
Basic Materials,XGBoost,0.4972774485478099,0.497927622055789,0.0006501735079790794,False
Basic Materials,LSTM,0.5002013003023034,0.5043177348781447,0.004116434575841321,False
Real Estate,LogisticRegression,0.4828580728179574,0.49827650863123063,0.015418435813273235,False
Real Estate,RandomForest,0.4884289948998366,0.49455888543913373,0.006129890539297134,False
Real Estate,XGBoost,0.4859327146147797,0.49297600067717856,0.007043286062398846,False
Real Estate,LSTM,0.4825174228815589,0.5051911389686415,0.02267371608708263,True
Energy,LogisticRegression,0.4821615693266537,0.48116604110833927,-0.0009955282183144454,False
Energy,RandomForest,0.4987562696222406,0.5000575759492342,0.0013013063269935454,True
Energy,XGBoost,0.4964424891075865,0.4968352669794406,0.00039277787185409974,False
Energy,LSTM,0.4954003825582666,0.496193113700447,0.0007927311421803696,False
Communication Services,LogisticRegression,0.4972420067704945,0.5041383501816525,0.0068963434111580235,True
Communication Services,RandomForest,0.5036041023721084,0.5066514695855932,0.003047367213484753,False
Communication Services,XGBoost,0.5061490134305615,0.5078845961359532,0.0017355827053916473,False
Communication Services,LSTM,0.4980449026731447,0.5072787011306736,0.009233798457528919,True
