sector,n_tickers,perticker_auc,perticker_acc,pct_auc_gt_50,band
Utilities,31,0.48952710526602194,0.49603025388463684,40.32258064516129,low
Basic Materials,22,0.49289845566222285,0.49313208825378285,36.36363636363637,high
Real Estate,32,0.4987369825273646,0.4995515391065485,51.5625,medium
Industrials,73,0.4989893077544782,0.5026716923442611,47.94520547945205,low
Energy,20,0.49979215561678086,0.5081626867962845,55.00000000000001,low
Consumer Cyclical,65,0.5000464403931218,0.49910297112175195,46.92307692307692,high
Healthcare,62,0.5032003356421175,0.5078315006938047,53.2258064516129,medium
Financial Services,70,0.5050793548513768,0.5101111877754276,54.285714285714285,medium
Technology,79,0.506114888821275,0.5124919295450392,54.43037974683544,high
Consumer Defensive,37,0.5069939523191831,0.5062218701409987,67.56756756756756,low
Communication Services,21,0.5093133972186239,0.5072430580685737,61.904761904761905,high
